feedback_id,feedback,title,author_codes,channel,product_area,source_dataset
Q3explainR_3bFXhF1vVBLVAYN,"This is a review on lung stem cells from 2013. I already flagged this work as controversial then (2013). I quote: 'However, convincing evidence of [..] is lacking or at the very least controversial [26–29]. Ref 27 is the retracted paper. Since the [name] paper was at that time published and not retracted (that only happened in 2018), I could not not cite it, but chose to cite it as 'at the very least controversial'. Its ultimate retraction of course did not surprise me.",Explain PubPeer concern / citation context — cit11_1,ANONYMISED; retraction/retracted; citation-reasons; review-article; to-be-discussed-group,open-ended survey (qualitative),Explain PubPeer concern / citation context,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q3explainR_8HtAaB7BPagge43,"Explained by senior author [name] in PubPeer #9 
If it is an error at all it is a trivial error in figure preparation and did not affect scientific coonclusions",Explain PubPeer concern / citation context — cit12_1,ANONYMISED; no-serious-consequence; uncertain,open-ended survey (qualitative),Explain PubPeer concern / citation context,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q3explainR_8M97iLD7AyP3VGF,"It seems that these errors occurred during the preparation of the figures and, according to the authors, they do not affect the results in the paper or the interpretation of the data. The figures have been corrected online in December 2020 [ref to correction].",Explain PubPeer concern / citation context — cit13_1,ANONYMISED; correction-done; error,open-ended survey (qualitative),Explain PubPeer concern / citation context,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q4noWontOtherR_8IL5PcQeln6VQwa,My co-author [name] has already addressed this issue in the past on your web site.,Why not use PubPeer (other) — com14_2,ANONYMISED; correction-done,open-ended survey (qualitative),Why not use PubPeer (other),Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q3explainR_8ADmXlriv2GSOdP,"I cited the paper for the effect of carrageenan, and my results were not affected by some suspect on the data commented by [sleuth name]",Explain PubPeer concern / citation context — cit15_1,ANONYMISED; misunderstood-question; citation-reasons; no-serious-consequence,open-ended survey (qualitative),Explain PubPeer concern / citation context,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q3explainR_9djjGjNpp166M2Y,"Thank you for informing me, as I delivered my paper to my coauthor Mr [name] for final modification, submission and correspondence, there might be some word/phrases mistakes from him in internationally,but this does not affect the research, however as a true research I apologize for few phrases errors, definitely I assure you that next time there will be an strong proof reading process before submitting my research 
Thank you 
Regards 
[name]",Explain PubPeer concern / citation context — com16_1,ANONYMISED; no-serious-consequence; language-not-content; action-other,open-ended survey (qualitative),Explain PubPeer concern / citation context,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q3explainR_2iA4Nms1RmZFTd7,"The statement in our paper where the citation is made is the following: [anonymized quote] The Pubpeer-commented paper is ref. [109]. The comments make a case for severe inappropriate figure production. The claim of that paper is that EZH2 directly drives DNA methylation. This claim has since not been confirmed. Instead, it is known that in many pathological conditions (presumably also in certain natural conditions), including cancer, genes that are bound by EZH2 - but have low DNA methylation in normal conditions, can lose EZH2 and become DNA methylated to be permanently silenced. 
In our paper, we should have kept the statement but should instead have cited paper PMID: [PMID] or/and PMID: [PMID].",Explain PubPeer concern / citation context — cit17_1,ANONYMISED; citation-reasons; regret-citation; no-serious-consequence,open-ended survey (qualitative),Explain PubPeer concern / citation context,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q4noWontOtherR_11bsrINu6HXHu5G,"The paper ([name], 2016) describes a method of transformation, and it is not affected by the problems reported on the retracted paper., it only makes reference to the conditions of a PCR reaction used in the retracted paper (the method is quite standard, is well established and used by many researchers). The work with [name] ended in 2015, also the funding ended in 2015. Although my lab remained active for 10 more years, we work on other species and we never had the opportunity to use the method. I am now retired (2025).",Why not use PubPeer (other) — cit18_2,ANONYMISED; retraction/retracted; no-serious-consequence; citation-reasons; old-paper,open-ended survey (qualitative),Why not use PubPeer (other),Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q3explainR_5fcyjuYyLIJJuyG,"Asynchrony has been well documented at many imprinted loci, including the H19 locus, on many different chromosomes and species, even thought the images may have been mishandled in the [name] paper the results have been confirmed by many other labs using different techniques. The error is tied to these specific authors in manipulating images.",Explain PubPeer concern / citation context — cit19_1,ANONYMISED; error-is-fraud; no-serious-consequence,open-ended survey (qualitative),Explain PubPeer concern / citation context,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q3explainR_3Mu5TzRy9LCBbzD,I became aware of [name] papers being flagged by members of the community. I cited this work because it was thematically consistent with a model we proposed positing distinct signaling and adhesive pools of b-catenin. The [name] group presented evidence that Y-phosphorylation at a single site on b-cat might account for this. But we were open to other ideas and did come down on whether Y-phos was the key mechanism.  OUr work was not dependent on the [name] work being true or not. I am sorry to see evidence of data manipulation... indeed there is good evidence that Yphos at 654 does indeed impact cadherin-catenin adhesive function from follow up papers- using different methods.,Explain PubPeer concern / citation context — cit20_1,ANONYMISED; citation-reasons; fraud; no-serious-consequence,open-ended survey (qualitative),Explain PubPeer concern / citation context,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
EndR_2qRO6BH5F3LUbo5,Check our paper if you are not aware of it [reference],Final open comment — cit21_5,ANONYMISED,open-ended survey (qualitative),Final open comment,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q4noWontOtherR_2SH2pijWeAcCjJn,"The statement in the review for which we refer to [name] et al., is very general and the statement is not challenged in any way by the errors in [name] et al.",Why not use PubPeer (other) — cit10_2,ANONYMISED; review-article; citation-reasons; no-serious-consequence,open-ended survey (qualitative),Why not use PubPeer (other),Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q4noWontOtherR_6MDTrNT5sZY3bR7,"The mention of this paper was for a different purpose, I.e., to tabulate the contributions of [name].",Why not use PubPeer (other) — cit22_2,ANONYMISED; citation-reasons,open-ended survey (qualitative),Why not use PubPeer (other),Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q4noWontOtherR_8EiLTBvV6MCriuf,The comments are part of a very zealous campaign while [name]'s research was being investigated for data fabrications. The level of scrutiny is beyond what most papers experience and as such I do not think the issues are substantial enough to warrant dealing with,Why not use PubPeer (other) — cit23_2,ANONYMISED; fraud; no-serious-consequence; data,open-ended survey (qualitative),Why not use PubPeer (other),Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q3explainR_26bfv9HN34QpMIM,"This paper as many others from the [name]'s group has polluted the field for 10 years. I used this ref to mention that our findings did not match theirs. Unfortunatly they floaded our small field with 29 articles on leptospires from which a large amount have been highlighted on pub peer for image manipulation (see [name] and [name] on pubpeer.) Their results were at odds with mine, and other serious people in the field. I struggled to have my paper published after theirs. The leader doing this fraudulous science is now retired.",Explain PubPeer concern / citation context — cit24_1,ANONYMISED; citation-reasons; misunderstood-question; fraud; old-paper,open-ended survey (qualitative),Explain PubPeer concern / citation context,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q3explainR_2Egn03S69NRI5Fl,"Dear colleagues,

the publication mentioned in which I have cited the paper retracted ([name], 2013) was a review which aimed to offer a comprehensive overview on the to-date 
advances about the role of glia cells in orchestrating the arrangement of synapses and
neuronal networks in physiological and pathological states.
The cited article was one out of three mentioned to support one particular statement.
Therefore, I think that its retraction does not really affect the meaning of our statement(s) offered back in 2020 and I would not call it ""an error"".

Best regards,
[name]",Explain PubPeer concern / citation context — cit25_1,ANONYMISED; review-article; retraction/retracted; citation-reasons; no-serious-consequence,open-ended survey (qualitative),Explain PubPeer concern / citation context,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q3explainR_56nIfuKhbOED9ap,"INTRODUCTION; ""[annoymized quotation] [3 references]""

COMMENT- In our paper we cited this + 2 others in a sentence in the introduction that related to the capacity of Sirt1 to be activated by NAD and to subsequntly deacetylate histone and none histone targets. In fact, in retrospect, we should have not cited this paper b/c its conclusions are irrelevent to our statment in the introduction. Beyond this statement, we did note cite this manuscript in this paper.",Explain PubPeer concern / citation context — cit26_1,ANONYMISED; regret-citation; misunderstood-question,open-ended survey (qualitative),Explain PubPeer concern / citation context,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
EndR_8uPzVHEUBdY308c,Thank you for bringing this to my attention. I did not know about the problems with the paper by [name] et al 2011.,Final open comment — cit27_5,ANONYMISED; happy-to-know,open-ended survey (qualitative),Final open comment,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
EndR_8UWn8Z74t7YenPH,"I am aware of the ongoing investigations related to the works of Prof. [name]. The purposeful data manipulation is very harmful to my field and to life sciences in general. I will be very careful that we do not cite retracted papers in our future studies. However, in this specific case this image duplication in his paper does not affect the conclusions of our study.",Final open comment — cit28_5,ANONYMISED; fraud; aware-of-pb; action-not-cite; no-serious-consequence; duplication,open-ended survey (qualitative),Final open comment,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
EndR_4tKe59hkcCdxqGw,"I appreciate this opportunity to share my opinion and I hope to have cleared the point. Please, feel free to ask any other question you may have. Best,
[name]",Final open comment — cit29_5,ANONYMISED,open-ended survey (qualitative),Final open comment,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q4noWontOtherR_11TN3429D8enpQq,We already published a piece on this topic [reference],Why not use PubPeer (other) — cit30_2,ANONYMISED; other,open-ended survey (qualitative),Why not use PubPeer (other),Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q4yesOtherR_26bfv9HN34QpMIM,I asked for the spot of [name] at the [conference name] conference to present my work and warn the field about  his fabricated data inducing wrong conclusions.,Why use PubPeer (other) — cit24_3,ANONYMISED; action-talk-conf; fraud,open-ended survey (qualitative),Why use PubPeer (other),Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q3explainR_11TN3429D8enpQq,The paper mentioned was a commentary when the paper was first published. We and other groups later wrote commentaries that the data could not be replicated ([reference]). So we agree with PubPeer's comments.,Explain PubPeer concern / citation context — cit30_1,ANONYMISED; reproducibility; relevant-comment,open-ended survey (qualitative),Explain PubPeer concern / citation context,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q3explainR_8SKVoxZwgqPxrKp,"But many other publications of [name] have been found with errors, some of which we have also detected. This one, I don´t remember the details, but I think it was of less relevance to our paper.",Explain PubPeer concern / citation context — cit31_1,ANONYMISED; misunderstood-question; no-serious-consequence,open-ended survey (qualitative),Explain PubPeer concern / citation context,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q3explainR_6HzaSflTReGHqxP,the comment exposes some serious problems with the [name] et al. paper.,Explain PubPeer concern / citation context — cit32_1,ANONYMISED; fraud-not-error,open-ended survey (qualitative),Explain PubPeer concern / citation context,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q3explainR_8I5ebvzAgpVJGjv,Our paper cites [name] et al as supporting a general principle that ECM signalling can occur through integrin a6b4.  The principle remains valid regardless of how this dispute may be resolved.,Explain PubPeer concern / citation context — cit33_1,ANONYMISED; misunderstood-question; no-serious-consequence; citation-reasons,open-ended survey (qualitative),Explain PubPeer concern / citation context,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q3explainR_2y7wc9n49VX40XJ,The regulation of SOD2 by IL-6 and ROS is elegantly described in [reference],Explain PubPeer concern / citation context — cit34_1,ANONYMISED; other,open-ended survey (qualitative),Explain PubPeer concern / citation context,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q3explainR_2zlM2cizKfSMy8p,"as a common, broadly applied,  method we used p19 in our transient transformation experiments and cited [name] 2003 for this method. In our work (prior to the onset of the PubPEER discussion) we did not check whether p19 indeed has an enhancing effect on transcription or not.",Explain PubPeer concern / citation context — cit35_1,other; ANONYMISED,open-ended survey (qualitative),Explain PubPeer concern / citation context,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q3explainR_8Lnj8SFDs5dwTsS,"Since I was unaware of PubPeer and only became aware of of PubPeer upon receiving the email from [name of one of the survey project members] I have no opinion as to whether what you're calling an ""issue"" is indeed an ""issue"".",Explain PubPeer concern / citation context — cit36_1,uncertain; ANONYMISED,open-ended survey (qualitative),Explain PubPeer concern / citation context,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
EndR_6jTE5LOBTKAsdGB,"I value the work at PP, which along with a special section of Biorxiv  allowed to unmask a fraudulent [journal] paper authored by [name]. The consequences of that publication had been severe for my lab [pubpeer link]",Final open comment — cit37_5,pubpeer-ok; ANONYMISED; fraud,open-ended survey (qualitative),Final open comment,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q3explainR_31BxAe0WnI5yj98,"I fully support the value and importance of PubPeer investigations. I am not sure how to call this issue.
The actin loading control appear different. If the blot is flipped horizotally as reported in the comments, the right lane is thinner than the left lane, and will not resemble the pattern of the alledgely mirrored blot. Moreover, these biological findings have been support by two other publications, [name] et al., 2010; [name] et al., 2010, our own and other followings after that. Over the years there have been mutiple evidence showing that 53BP1 rescues several biological effects induced by BRCA1 deficiency.",Explain PubPeer concern / citation context — cit38_1,pubpeer-ok; ANONYMISED; no-serious-consequence; uncertain,open-ended survey (qualitative),Explain PubPeer concern / citation context,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q4noWontOtherR_1EZliDCGXrZ4E7A,"This was a review article that stated ""[anonymized quote]""- this statement that the protein appears to have a different conformation is what depends on the article in question and it is a minor point in the review article,. I did say ""appears""",Why not use PubPeer (other) — cit39_2,review-article; ANONYMISED; other,open-ended survey (qualitative),Why not use PubPeer (other),Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q4noWontOtherR_1I3N3GULf9vno6R,"As stated on the previous page of the survey, in the review article I wrote that cited [name] et al., I provided a citation from a different group that reached the same conclusion. Thus I am of the opinion that while the [name] paper may have substantive concerns (but as far as I am aware it has not been retracted), the conclusion I drew in my review article is still valid based on the other supporting citation.",Why not use PubPeer (other) — cit1_2,review-article; ANONYMISED; no-serious-consequence,open-ended survey (qualitative),Why not use PubPeer (other),Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q4noWontOtherR_2O82ybY4059Gyff,"the paper we published is a review paper with many many references, the [name] paper is a small part of that.  That said if i would have knew it was on pubpeer before we wrote the review paper, we would likely not have included it in our paper.",Why not use PubPeer (other) — cit40_2,review-article; ANONYMISED; regret-citation; no-serious-consequence,open-ended survey (qualitative),Why not use PubPeer (other),Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q4noWontOtherR_2iA4Nms1RmZFTd7,"I feel that the comments have handled the situation correctly and completely and there is no more to be added. Anybody who sees them should be able to make up their mind.
What needs to be done by the community is stop citing paper PMID: [PMID]. Nature already published a correction and one thing that they should consider is whether the correction is technically sound and of a nature to sufficiently inform the readers (in my opinion it seems not to be the case but I admit that I did not go into the intimate details of the matter).",Why not use PubPeer (other) — cit17_2,correction-done; ANONYMISED; action-not-cite; pb-fixed-on-pubpeer; relevant-comment,open-ended survey (qualitative),Why not use PubPeer (other),Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q3explainR_32JPrYzWZ5pRuXY,It is a comment about western blot images- it is irrelevant to the reason we cited the paper.  We cite this paper to exemplify the importance of post translational modifications. [name]' work speaks to this issue.,Explain PubPeer concern / citation context — cit41_1,citation-reasons; ANONYMISED; no-serious-consequence,open-ended survey (qualitative),Explain PubPeer concern / citation context,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q3explainR_2KCtRC5pgg1vVAF,"At the time of preparing and publishing our manuscript, I was not aware of the PubPeer comments related to the referenced article. In our paper, we did cite the publication mentioned on PubPeer, but we also referred to complementary studies, including the back-to-back publication by [name] et al. in the same issue of [journal name], and the work by [name] et al. in [journal name].

Together, these studies provide strong support for the model in which the βTrCP-SCF ubiquitin ligase and PLK1 cooperate to promote Claspin degradation and facilitate Chk1 silencing. We considered it appropriate to cite this broader body of evidence to reflect the consensus at the time.

In retrospect, it might have been valuable to take the PubPeer comments into account when deciding whether or not to include the reference. That said, this remains a nuanced decision, especially since the original article in question has not been formally retracted.",Explain PubPeer concern / citation context — cit42_1,misunderstood-question; ANONYMISED; no-serious-consequence; citation-reasons; retraction/retracted,open-ended survey (qualitative),Explain PubPeer concern / citation context,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
EndR_26bfv9HN34QpMIM,[sleuth's name]'s scrutinity revealing the fabricated images in the articles of this group helped me to dismiss the wrong assertions,Final open comment — cit24_5,relevant-comment; fraud; ANONYMISED,open-ended survey (qualitative),Final open comment,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
EndR_7l7o3DNF3ffUzuN,"It is good that the error was identified. I wish (just out of sympathy for the authors and the for the field in general) that one of the other (middle) authors, for example, would have done the same level of scrutiny as [sleuth's name]. I think the only way to be positive to nver have a mistake in one's published work is to never publish.",Final open comment — cit43_5,happy-to-know; pubpeer-ok; ANONYMISED,open-ended survey (qualitative),Final open comment,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q3explainR_2lEwywJNzGD06Tn,"This reference was added together with other references to highlight the role of cFlip in controlling T cell activation. Although the retraction of the ms of [name] is normal due to falsification, this does not change the purpose I wanted to put forward. That said int would be good to be able to flag these retracted papers in the original papers that cite them.",Explain PubPeer concern / citation context — cit44_1,fraud; retraction/retracted; ANONYMISED; no-serious-consequence,open-ended survey (qualitative),Explain PubPeer concern / citation context,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q4noWontOtherR_64H454ui0LB7VHb,"Blowback from those authors who clearly either falsified data or were very sloppy (best case scenario) who happen to be at [name of prestigious university], while I am still untenured",Why not use PubPeer (other) — cit45_2,consequence-reputation; fraud; ANONYMISED; to-be-discussed-group,open-ended survey (qualitative),Why not use PubPeer (other),Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
EndR_2y1nWiKuc6HKsQ9,"The automated, software-assisted comparison of published figures to discover intentional as well as inadvertent figure duplications is a very useful and valuable tool. [sleuth name] is to be highly commended for generating this tool.",Final open comment — cit46_5,pubpeer-ok; duplication; other; ANONYMISED,open-ended survey (qualitative),Final open comment,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q4noWontOtherR_2JJzj0n85Kp5VD6,"For the reasons stated on the previous page, I assume that this was an error rather than a deliberate attempt to generate fake results. In view of the published correction, which is consistent with the interpretation given in [reference], I do not think further action is required in this specific case.",Why not use PubPeer (other) — cit47_2,error-not-fraud; correction-done; ANONYMISED,open-ended survey (qualitative),Why not use PubPeer (other),Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
Q4noWontOtherR_1amolNwsL9LQdzy,"I cited this paper once in a review chapter as it was the first report of the function of the formin DAAM1 in the PCP pathway. Many subsequent papers have reported similar findings and these citations make up the entire discussion in my review. Thus the ""errors"" in the Habas paper do not affect the conclusions of the review. Ironically, I never liked the [name] paper and always had issues with their interpretation of the data! Nonetheless, other groups have replicated their key findings so i am not sure if the problems reported with these figures represent malfeasance or sloppiness. Does this make a difference? I like to think that the second one is less serious.",Why not use PubPeer (other) — cit48_2,review-article; no-serious-consequence; ANONYMISED; intent,open-ended survey (qualitative),Why not use PubPeer (other),Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
EndR_62p1NswxveY45P3,I think the comment by [sleuth name] on PubPeer about our paper did much damage and for no gain. The literature did not benefit and my colleagues and I suffered through an investigation at my own institution that lasted about 1.5 years before we were cleared of wrong doing. I do not know [sleuth name] but I think what she is doing on PubPeer is awful.,Final open comment — cit49_5,consequence-psychological; pubpeer-not-ok; ANONYMISED,open-ended survey (qualitative),Final open comment,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
EndR_8MGd2Wqwx7eovDo,"Nice to be notified of this. I wasn't aware of this (my research has moved to a totally different direction since the publication of the review in which we cited the retracted paper), although it was just one of the papers supporting the remark we made in this review.
But I know there's a lot attention on scientific fraude, especially because of the great work by [sleuth name], and that's a good thing (eg the retraction of the famous [anonymized paper]). Probably there's a lot more out there that contains fraudulent data...",Final open comment — cit50_5,happy-to-know; review-article; pubpeer-ok; fraud; ANONYMISED,open-ended survey (qualitative),Final open comment,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
EndR_8uqG2fTbH5OUxm9,"Pubpeer and its anonymous collaborators maintain harassment procedures on the authors who did the mistake, through massive emails and cyberharassment by [sleuth name], affecting mental health and impairing correction of the error",Final open comment — com51_5,pubpeer-misuse; anonymity; consequence-psychological; ANONYMISED,open-ended survey (qualitative),Final open comment,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
EndR_8ADmXlriv2GSOdP,"The comment by [sleuth name] is appropriate. I think referees or publishers should do thorough checks on experimental data, especially images, before accepting a paper for publication. Data adjustment with software interventions (e.g. Photoshop) is a scourge that must be addressed.",Final open comment — cit15_5,relevant-comment; peer-review-process; responsibility-to-journals; ANONYMISED,open-ended survey (qualitative),Final open comment,Zenodo 10.5281/zenodo.20413424 — PubPeer perceptions (qualitative)
