feedback_id,feedback,title,rating,created_at,channel,product_area,source_dataset
DRUG-08395,"""Hello, I started Contrave exactly 4 weeks ago; I've lost 9 lbs. I've been running & speed walking 4.5 miles a day. Earlier I nearly passed out running and realized I had to exercise prior to taking my morning dose. Back pain this week, so two days off from running & got acupuncture. Headaches were severe the 2nd and 3rd weeks, not anymore.  Difficulty urinating, & waking up to pee twice a night started in week 2 and still persists, though not as severe now. I still think about food more than I wish, but I'm able to cook & bake w/o tasting the food. Oranges and yogurt are satisfying when I'm struggling. Magnesium oxide is a must for constipation. I'm happy, & 13 lbs to reach goal.""",Bupropion / naltrexone — Weight Loss,4.5,2017-05-28,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-36000,"""Chronic back pain/three back surgeries. Medicine is only mildly useful. I have breakthrough pain every time I have to walk more than two or three minutes.  I was told I shouldn't need anything besides this medicine, but that is NOT true. I am also having a skin reaction at the patch site. Before being given this medicine, I reminded my doctor that I have a problem with most bandage adhesives (only paper tape works), but she said this wouldn't be a problem. Wrong....I am getting blisters.""",Butrans — Chronic Pain,2.5,2014-05-16,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-106354,"""After being diagnosed with MS I started on rebif injections which I continued with for a year and a half. I spent six days of the week with flu like symptoms. To be on rebif I had to stop taking warfarin which I need to help with another condition. 7.5 years ago I was switched to tysabri so I could once again take warfarin at the same time. That was the best thing that happened. I'm no longer feeling dreadful for the majority of the week and in fact suffer no symptoms. I'm fortunate that I'm jc negative and that the government here covers the cost of my infusions and best of all had no flare ups since I started on tysabri.""",Natalizumab — Multiple Sclerosis,5.0,2015-12-11,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-113866,"""I just started taking Dilaudid a short time ago. I have lived in misery for the last 12 years with lower and upper back pain. I have been on MS Contin. Vicodin, Lortab pill and liquid.  I recently hurt my back at work to the point that, I could not even drive. My doctor put me on Dilaudid and I have to say that it works well.  I feel for anyone who lives with chronic pain.  At least I can move and work. Maybe not as fast as I once was but, I still get the job done. Please don't give up there are other alternatives that may work for you.""",Hydromorphone — Chronic Pain,4.0,2013-05-14,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-01896,"""Took 4 pills in one go. oops. dont take them all in one go. It ruins you. I chundered at work. In the first aid room sink. Hello again nandos sunset burger. I only saw you 2 hours ago. 

This medication is tough. only if youre 'ard. I am not that.""",Biltricide — Schistosoma japonicum,1.5,2017-10-18,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-08263,"""So I started this pill and was excited but had to stop right in the middle of the pack.  I mean out of nowhere, there is a burst of bleeding.  I went to the bathroom and it's like my period snuck up on me and it was almost 2 weeks before my period is due.  There was lots of clots and brown yucky stuff.  On top of all that my moods were really crazy. I would be lying in my bed and would feel like crying and then be okay the next moment.  I have only been off now for two days cause I just couldn't take the crazy mood swings and the bleeding anymore.  I also noticed a great deal of fatigue and even that has changed even after just 2 days off of loestrin. It's not worth it and I cannot wait for it to be out of my system.""",Loestrin 24 Fe — Abnormal Uterine Bleeding,1.5,2016-08-31,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-107409,"""Had Mirena placed in December of 2014 for endometriosis. Bled 15-20 days out of the month. 9 months after placement started to have severe hip, low back pain and nausea. Had severe PMS and a lot of hair loss. Turns out it perforated my uterus and I had to have emergency surgery. I would not recommend this device to anyone! Horrible experience with it and I wish I never had one placed!""",Levonorgestrel — Abnormal Uterine Bleeding,1.0,2016-01-18,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-51367,"""Cimzia manufacturer covers copays. Have to renew each year. Can't work as nurse without it. Inject every 3 wks.""","Certolizumab — Crohn's Disease, Maintenance",5.0,2012-06-04,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-90839,"""I've been taking Levora for a little over a year. This was my first time using an oral contraceptive and it is amazing. I haven't gotten pregnant, my sex drive has increased and my acne isn't as bad. When I take the reminder pills I usually don't start my period the first day which scares me. I crave food the week before my period and sometimes during. This pill serves its purpose so far, but me and my boyfriend also use condoms the majority of the time.""",Levora — Birth Control,4.5,2010-11-25,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-128191,"""This stops the bleeding.  I have been bleeding heavy for 4 weeks. This worked and i actually feel better! ? Happier and more energetic!""",Medroxyprogesterone — Abnormal Uterine Bleeding,4.5,2015-09-19,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-22724,"""I started taking 150 mg of bupropion (the generic Wellbutrin) and after a couple weeks doubled it to 300 mg after my doctor told me to. Exactly one week later I broke out into the biggest, puffiest, itchiest hives all over my body. My joints also became swollen, stiff, and painful. My throat was also sore and tight. I ended up in the ER. 

WHAT'S REALLY SAD IS THAT IT WAS WORKING WONDERS FOR ME! I studied half as much and it was twice as effective, my test grades were great!

I'm now trying to decide between Effexor or Straterra.""",Wellbutrin XL — ADHD,4.0,2009-11-30,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-09560,"""I had Mirena inserted after the birth of my second child, since 2008. Insertion was not painful at all. I did have some cramps and bleeding on and off for the first 3 months and got a bit bloated due to water retention but after 6 months everything was fine. Mirena gave me peace of mind as I don't have to worry about getting pregnant all the time. It has improved my sex drive and sex life and thus as a couple my husband and I can enjoy a better relationship. 
I have also recommended to my friends and they seem to be happy about it as well.""",Mirena — Birth Control,5.0,2012-05-04,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-49825,"""I am a 26 yo, no babies or pregnancies. I am very sensitive to hormones. The pill made me almost suicidal so my doc suggested the ring. The first month went ok. The second month I developed a horrible yeast infection a few days after insertion. I took Diflucan and the symptoms seems to reside. But the next month the same thing! A few days after insertion a horrible yeast infection! I took Diflucan and it did not clear up. My doc recommended that Monistat works better so I tried that too. I even had my partner get tested to make sure he wasn't carrying it. The Monistat did not clear it either. I had terrible pain and burning and finally just took Nuvaring out early. The symptoms went away almost immediately.""",NuvaRing — Birth Control,1.0,2013-02-13,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-116615,"""Vyvanse has had such a positive effect for me in regards to binge eating. My binge eating started over 28 years ago. In recent years I was bingeing almost every day. Since starting Vyvanse 5 weeks ago I have not binged one single time! I admit there were a few times that I over ate but I have not binged. It is such a relief to not have to battle with food thoughts, cravings and compulsions! Food is no longer the first thing on my mind in the morning nor the last thing on my mind before I go to bed. I leave food on my plate. I eat a quarter to a third of what I ate before. When I grocery shop the foods that used to call my name almost make me gaggy now. There's such freedom in not being in bondage to food. Continued in next post...""",Vyvanse — Binge Eating Disorde,5.0,2015-04-13,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-146058,"""What is all the fuss about? Does it taste great? No. But it's seriously not bad at all. I used a straw and drank it right down. It started working within 5 minutes. I am now about 45 minutes into the prep and I am already passing clear liquid. No cramps, no headache. I was all worried about nothing.""",Magnesium sulfate / potassium sulfate / sodium sulfate — Bowel Preparation,5.0,2014-08-20,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-32302,"""I went in to have my Skyla placed yesterday morning. After reading all of these reviews I was hyperventilating and crying on my way there, bc I did not want to experience &quot;the worst pain of my life&quot;. However, it was a complete waste of tears and energy. Before the procedure, I started doing heavy breathing, similar to pregnancy breaths, bc I was so nervous and I can tell you I felt NOTHING. There was a little bit of pressure, but nothing compared to what I've read on here. Probably a 2/10. It was over in 30 seconds, and as soon as she was done, the pressure vanished. I was shocked. I went to work from 5:45-11:30, & I managed with mild cramping.I cant speak for long term yet, but don't let other women scare you out of this, its very worth it!""",Skyla — Birth Control,5.0,2015-12-12,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-59738,"""I have been on sprintec a little over a year and it has done wonderful by far in preventing pregnancy. My major problem would be the constant migraines. it progressed to worse. I am looking into a different method.""",Ethinyl estradiol / norgestimate — Birth Control,4.0,2016-06-01,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-23807,"""My T-Level was 145 then just two weeks later 135. Then I started loosing bone mass and muscle tone.  My Doctor advised me to try Axiron.  Only on day two, lifting weights and walking has already become easier to do.  Sex drive as always been there.  Brain willing, body function not so good.  Will post again in two weeks to let you know how things are going.  So far though for two days I am happy with results.""","Testosterone — Hypogonadism, Male",5.0,2013-04-18,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-24622,"""I have IBS with diarrhea. Out of pocket price $500.00 for Xifaxan 550 mg three pills a day .
It did not work for me at all. After two weeks of the pills diligently taken.  Waste of money .I had no side effects.   But the pills did not work for me the diarrhea persists as does  nausea sweating and stomach cramps.  I have run out of ideas as has the dr.  Don't waste your money.""",Xifaxan — Irritable Bowel Syndrome,1.0,2017-07-15,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-20712,"""I've been on this birth control going on 8 years. Never any weight gain or physical issues, but the occasional mood swings and PMS. Cant say if Ive had an increase in appetite. But totally worth it. Haven't gotten pregnant!""",Zovia — Birth Control,5.0,2015-03-26,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-68410,"""Started on may 14. 2015 ONE pill per day.. Stating weight 187 lbs !!!!! 
Weighed yesterday may 30 @ 183 lbs.. It may not seem alot but considering i have hypothyroidism and i have not exercised at all i think it is great !!!! Soo happy !! The first two days the pills made me feel nauseas and tired and headache but after the 3 rd day everything was great NO side effects!!  I am going to see my doctor in a week and a half and will ask her to prescribe me the regular dose 2 pills a day. My goal is 135' - 140 lbs ..still have a lonng ways to go but i am sure belviq wont let me down.""",Belviq — Obesity,4.5,2015-05-30,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-71735,"""My medicine gives me extreme constipation all the time. My number 2 norm is about once a week. My doctor prescribed this med last Wednesday so I've been taking 2 pills/day for more than a week and still have seen no improvement. I do feel bad for the rest of you for being in so much pain and agony. I'm not sure if taking the generic brand works differently I wouldn't imagine. I'm just wondering how long I should keep taking it with no results.""",Senna — Constipation,1.0,2016-04-14,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-150244,"""Tried it to help with BM but it ended up causing a lot of bloating and with diarrhea. Stoped taking and will try something else.""","Linzess — Constipation, Chronic",1.0,2017-11-30,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-09482,"""Had it placed May 2015, minimal pain - a pinch and a menstrual-type cramp, and it was done! I had it removed July 2016. During those 14 months, I had no period whatsoever. No cramps, no PMS, no spotting. Never a discomfort at all! So why did I take it out? Within 3 weeks of insertion, I gained 12 pounds. My GYN said it had nothing to do with the mirena, I &quot;just wasn't being honest&quot; with myself about my food intake. The weight gain continued about 5 months and topped out at 35 pounds. I was exercising and monitoring my calories this whole time. My PCP put me on meds to lose weight, to no avail. It finally dawned on me that it must be the mirena, despite what my GYN says!! Had it not been for the weight gain, I would have kept mirena forever.""",Levonorgestrel — Birth Control,2.5,2016-07-30,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-92923,"""Did not find this drug beneficial for me.  May have helped with some depression symptoms, but overall, I don't feel that it is doing anything positive for me at this point.
Have been on it for almost 5 months.  Find I am careless, impulsive, lazy, lethargic, etc. """,Cymbalta — Depression,2.5,2011-07-21,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-07299,"""Prepare prep in advance adding 1/2 packet lemon crystal light and refrigerate.  When time comes to drink, pour into a cup with ice and drink with through a straw.  Never had any stomach cramps and actually only went to bathroom a couple of times the night before.  The next morning drank the second liter in same manner as before.  Still no cramps and went to the bathroom frequently until completely purged.  I would highly recommend.""",Polyethylene glycol 3350 with electrolytes — Bowel Preparation,5.0,2013-11-08,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-00499,"""I had the Skyla placed a month ago. My Doc said I would experience some slight cramping during insertion and light cramps throughout the evening. I haven't had children & have a tilted uterus; 2 odds against my favor. The doctor clamped my uterus, pulled it straight to allow for placement, & manually dilated my cervix with another tool. The pain was excruciating. I was so miserable that I was holding my breath (accidentally) & nearly passed out. She told me to take Ibuprofen for pain. After bawling my eyes out 45 mins driving home, I took Ibuprofen, but no help. I called the MD back and she said this was &quot;okay&quot; since I had a tilted uterus and never had children (bad answer). Now it's been in for a month & cramps are rare & tolerable.""",Skyla — Birth Control,2.0,2015-05-21,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-153994,"""I am 51 years old and have been seizure free for 12 years with Tegretol XR. I have no noticeable side effects. I am extremely satisfied with this drug.""",Carbamazepine — Not Listed / Othe,5.0,2009-01-13,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-138642,"""I actually take it for my  Psoriatic arthritis for neuropathy. Took only 30 for days worked great but  my blood pressure went from 128/78 before starting to 178/116 the day I stopped it . My Doctor told  me it probably wasn't the Trokendi XR because there is no listing of raising blood pressure in the list of side effects, but 1 week after stopping it my BP is back to normal . USERS BEWARE !!!""",Topiramate — Diabetic Peripheral Neuropathy,1.0,2017-11-18,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-54574,"""Life-changing!  With Botox my almost daily migraines are well-controlled for 2-1/2 months of the three-month treatment period.  If I do get a migraine, most of the time ibuprofen is all I need.  Before Botox, ibuprofen would do nothing.""",OnabotulinumtoxinA — Migraine Prevention,5.0,2017-06-17,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-108837,"""24 hours after taking chlortrimeton 90% of my hives have disappeared. This is the first OTC drug I have taken that has had an effect. I experienced some drowsiness but functioned quite well.""",Chlor-Trimeton — Urticaria,3.5,2008-07-13,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-158517,"""I've been on contrave since Nov. 6th, as of today, I'm down 12lbs, my questions are #1 does it make you sleepy, or is it just me? 2nd, has anybody tried eating sweets on this pill? Well we had our Christmas Party at work, and I tell you eating sweets, and drinking any amount of alcohol will have you sick, so don't do it""",Bupropion / naltrexone — Obesity,4.0,2015-12-16,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-134156,"""I was only on this for a few days until I got a tick inm y left eye and my doctor said I had to discontinue. Research indicates that in rare cases these facial ticks could be permanent which is scary. I also experienced &quot;brain shocks/zaps&quot;.""",BuSpar — Anxiety,1.0,2015-05-04,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-101840,"""Took two one day then 2 more 36 hours later.  Did not help much with my constipation. Also very bad leg cramp during the night. Also cramp in my left arm which went down to my fingertips.  
I have not experienced such painful cramp before so will not take these tablets again.""",Senokot — Constipation,2.5,2016-07-17,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-81390,"""Only took twice a day for my ankylosing spondylitis .  Had little relief if any at all.  Vimovo worked much better but after a couple months had horrible GI side effects.""",Zorvolex — Pain,1.5,2016-11-10,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-145290,"""It gave me horrible indigestion and heart palpitations (tachycardia) definitely not a good herb for hormone balancing.""",Evening Primrose Oil — Chronic Fatigue Syndrome,1.0,2016-03-03,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-41564,"""I am fused from C3 to C7 and from L1 to S1. I have nerve damage because of a botched operation. I have taken this medicine for 3 years. It is the only drug I have been able to take for this length of time and not have to titrate it up. I would take it forever but my insurance company has decided that I only need two tablets a day. I currently take 2 x 40mg ER tabs 3 times a day. This was a great medicine for me and anyone on long term use should at least try it.""",Opana ER — Pain,4.0,2010-06-26,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-101784,"""I am almost finished the second month in my first 3 month pack and the first five weeks were great. I only had mild nausea the first 4 days I started taking Loseasonique and it stopped pretty quickly. After 5 weeks I started spotting and it has not stopped and I am on week 9. It's just ridiculous. I want to know when it will stop. I am going on vacation in 2 weeks and I do not want to have to carry around panty liners and tampons. I am not unsatisfied with the pill just a little disappointed that I have no idea when the spotting will end.""",LoSeasonique — Birth Control,2.5,2010-11-29,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-69765,"""I have just started using this med after extensive sleep testing.   Due to medical reason and just my own internal clock I seem to have a combination of Insomnia and Hypersonmia.

I'm currently only prescribed 100 mg 1/day.  I guess I was hoping for a magic bullet, but the first day I took it I promptly fell back asleep.  The second day I was able to stay away and actually focus on getting things done.  Today I slept for 36 hours straight in spite of taking it and am ready to go right back to bed.  It also gives me some killer headaches.

Being so new to it, and having seen positive results on one out of three days, I'm hoping that they'll be able to increase my dosage when I check in with the specialist in a couple of weeks.""",Modafinil — Hypersomnia,2.5,2017-10-09,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-138474,"""Both my husband and I have been taking Norvasc for a period of approximately 6 months.  It has lowered both of our blood pressures into the normal range and we have suffered absolutely no side effects.""",Amlodipine — High Blood Pressure,4.5,2010-06-18,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-54468,"""Not going to lie, this pill can possibly make you go insane. But, like all the other reviews say - just be patient. 

Experience: 

Last period prior to the pill: June 11th 

Incident: June 21st (possibly ovulating). Took the pill possibly within maybe 3 mins after (super paranoid). 

Very light bleeding June 26th (for about 3 days). 

Symptoms (for a month, after taking the pill): 

Nausea 
No appetite 
cramps (on and off) 
Some acne 
lower back pain 

Obviously all symptoms of pregnancy. 
Took maybe 6 pregnancy test, and a blood test (all negative). 

Period came exactly one month after the light bleeding occurred. 

Please don't make yourself sick like I did. I lost like 10 pounds from freaking out alone. Patience is key.""",Levonorgestrel — Emergency Contraception,4.0,2016-07-27,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-98355,"""I went on this pill because my other pills made my breasts to tender. The pill was great when I started in March but then in July and August I have had bleeding for more then a week. At the beginning I never had any bleeding and it took away my period fully, now I bleed heavy for more then a week.""",Dienogest / estradiol — Birth Control,1.5,2011-08-09,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-140878,"""More side effects for me than Abilify~mostly anxiety & light-headedness plus headaches at first.""",Geodon — Schizoaffective Disorde,2.0,2015-08-11,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-82131,"""I used the Obagi Nu Derm System for sun spots in 2007 and had amazing results, no one could believe my age, however because my face  had a burning sensation while  I was on my computer (weird)  I decided to stop using it. 
Today 8 years later I still get the burning face sensation when I'm on the computer or driving my car during the day even with sunscreen on.""",Hydroquinone — Dermatological Disorders,1.5,2015-11-12,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-155688,"""Took only one tablet (directions said to take 2) at 9pm after being constipated and miserable for a week.  Two hours later I was doubled over with the most agonizingly painful stomach cramps I have ever experienced. Was on the toilet for 3 hours without any bowel movement, literally screaming from the pain.  I honestly thought I was going to have to call 911. 

Finally had explosive diarrhea for the next hour.  Slept on the bathroom floor and had intermittent diarrhea all night.  I would rather be constipated for a month than go through that again.  Second worst pain I've ever experienced (first worst was a second degree sunburn on my feet and legs).""",Senna — Constipation,2.5,2015-09-21,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-32336,"""I'm a 47 year old type 2 diabetic for over 20 years. Have been on most insulin&rsquo;s after the pills stopped working for me. Then dropped a huge amount of weight so I was taken off all meds. Now gained 45lb and A1C in the 10&rsquo;s. In the past two years. I&rsquo;ve tried Januvia, not a lot of side effects but didn&rsquo;t lower my sugars. So I was put on Invokana. Worked good for maybe two months on lowering my sugars but the side effects were quite bothersome. Especially the longer I was on it. Yeast infections bad. Up at night going to the bathroom because of the way the med works, extremely tired, thirsty,dehydration issues if you don&rsquo;t drink enough and the recent gas,bloating,constipation issues. I couldn&rsquo;t get enough carbs with my cravings and wt gain! Off the Med and on to Victoza!""","Canagliflozin — Diabetes, Type 2",1.5,2017-12-10,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-60584,"""I am male, 53 years old, & have been on Zoloft (Sertraline) 75mg for 1 year. My problem was with anxiety & I became very sick. I first tried Celexa & I felt worse. After 3 weeks I switched to Zoloft & quickly noticed an improvement. It took about 3 to 4 weeks for Zoloft to start working effectively. By the 3rd month I felt even better & any side effects stopped - they are: trouble sleeping & I took Ativan to relax me and fall asleep, and after 3 months my sleep returned to normal; as for sex, maybe slightly longer to orgasm but no sexual dysfunction. As for alcohol, I still drink & feel fine; there was sweating but this went away. Zoloft works, good luck!""",Zoloft — Panic Disorde,5.0,2013-07-19,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-148098,"""I went on this medication because I needed to regulate my periods. I've been on it since January and everyone can tell in depressed. I used to be outgoing and talkative but now my boyfriend can just ask me a simple question and I'll break down and cry.""",Tri-Sprintec — Birth Control,1.5,2016-04-18,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-74885,"""I've had a colonoscopy every year since I was 10 years old. I am now 31. I have Crohns disease. I have had diarrhea for two weeks, after drinking this, I had the first solid BM. Last time I will let my DR prescribe this as prep.""",Prepopik — Bowel Preparation,1.0,2017-02-01,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
DRUG-70143,"""I was prescribed Mirtazapine for severe anxiety, I took my first 15mg dose and waited to fall asleep as this is what the doctor told me to expect, I laid almost paralysed hallucinating on and off all night but at that point I thought I was dreaming,my husband picked up on the fact that I was wide awake hallucinating,the emergency doctor told me to discontinue immediately, I never took another dose but 5 days later I still feel very ill,itching all over and just not myself,i was told it could take 200 hours to leave my body completely by my pharmacist, I just pray it's over soon, it's been a terrible experience for me personally.""",Mirtazapine — Anxiety,1.0,2016-09-29,drugs.com patient review,Public health — medication experience,UCI Drug Review Dataset (Drugs.com)
